strategy_id,total_time
19,5332.2766669241455
21,5333.375074125855
18,5338.277730568125
20,5338.676287390648
42,5347.780884474918
43,5349.561858592175
38,5349.897285865201
17,5349.905939191338
39,5351.616468366982
7,5352.094917098737
33,5352.676691364331
34,5354.040772133733
5,5354.694642905124
15,5355.527332378715
16,5356.077734848015
6,5357.841142911932
47,5358.975767822711
13,5359.142836022041
3,5359.5512064370305
48,5359.782420114371
4,5359.8386517768395
45,5359.858020886836
46,5361.392682487427
14,5361.909821178249
11,5363.017592871128
9,5363.740609332891
2,5364.141198337027
12,5365.593404878299
27,5365.7707543331835
1,5366.20359440565
28,5366.77266304328
29,5367.472694277789
41,5367.884954416691
10,5369.119189529712
8,5369.655670902451
0,5369.819617293078
37,5369.885601588847
32,5372.7152779493435
40,5373.083307166449
36,5374.409966094437
31,5377.178126283049
35,5377.539235496186
30,5380.031543457926
44,5380.441075654158
23,5381.419650714338
22,5382.371515110436
26,5386.220881115604
25,5390.775944322628
24,5393.7393481146955
